s.no,Code,Station,Latitude,Longitude
367,SKNP,Sarkanpur,24.8232027,79.0639647
368,SOY,Sukrimangela,22.9071106,79.8346206
369,RNJ,Runija,23.1663555,75.2711142
370,SLV,Sandalpur,26.0829395,78.2034271
371,NKI,Naikheri,23.2007044,75.6827331
372,HKL,Harkia Khal,24.3630894,74.9190125
373,JPO,Jora Alapur,26.3445812,77.8022992
374,NIR,Nainpur Junction,22.4258293,80.1094709
375,KNC,Kanchanpur Road,24.040791,81.6425961
376,BHAT,Bhatpura,26.3274272,77.6762749
377,BRNA,Berawanya,23.4666368,75.3365403
378,KRLS,Kurlasi,24.3555576,75.7281139
379,ISHN,Ishanagar,24.8539561,79.3932746
380,RJAK,Rajnagar,24.9038663,79.8774505
381,SBL,Sabalgarh,26.2507702,77.4085265
382,DKI,Dharamkundi,22.5103087,77.5487356
383,PUD,Phanda,23.231296,77.1875946
384,AAH,Itehar,26.561873,78.6720259
385,KAKN,Kaimarakalan,26.170662,77.2037241
386,SPDM,Singhpur Dumra,25.066363,79.8968977
387,RLK,Rohal Khurd,23.5113482,75.4855616
388,SORI,Sorai,23.5566889,77.8505778
389,PPCK,Pipalwali Chowk,26.26612,77.472799
390,MTA,Mathela,21.8787909,76.3891096
391,HNM,Hinautaramban,24.569394,80.9647549
392,CWA,Chhindwara Junction,22.0578229,78.953772
393,BJPR,Bijaipur Road,26.1882753,77.2930352
394,SSGJ,Sursaraighat Jhara,24.0266808,82.1083617
395,BQE,Bakanian Bhaunri,23.2643328,77.2574235
396,AEH,Anant Paith,25.9553504,78.276429
397,CRK,Charkhera,22.3662569,77.160078
398,STLI,Sithouli,26.1465401,78.1872023
399,BMC,Bhimalgondi,21.7514696,78.928928
400,TILA,Tila,24.8357791,79.2860126
401,KHNR,Kachnara,23.8399434,75.1024415
402,MDGR,Manendragarh,23.21946,82.1977605
403,BMZ,Bamour Gaon,26.3438354,78.091625
404,PPG,Piploda Bagla,23.3616899,75.4292804
